QID,name_x,Unnamed: 2,best_match,name
Q18228597,Element Solutions,,Element Solutions,
Q6038080,Insight Enterprises,,Insight Enterprises,
Q1524197,Gildan Activewear,,Campus Activewear,
Q268784,China Merchants Port,,China Merchants Port,
Q1450805,Francaise des jeux,,Française des Jeux,
Q2974454,Frontier Communications,,Frontier Communications,
Q1189945,Dentsu,,Dentsu,
Q16986288,Vail Resorts,,Vail Resorts,
Q2007090,Central Bank of India,,Central Bank of India,
Q3118234,Galicia Financial Group,,Galicia Financial Group,
Q2004439,Bank of India,,Bank of India,
Q106631196,Klaviyo,,Klaviyo,
Q1671741,Investec,,Investec,
Q23384493,Delivery Hero,,Delivery Hero,
Q11464265,Ono Pharmaceutical,,Ono Pharmaceutical,
Q16885315,Mueller Industries,,Mueller Industries,
Q902109,Sabanc? Holding,,Sabancı Holding,
Q4865759,Yancoal Australia,,National Australia Bank,
Q205378,Zions Bancorporation,,Zions Bancorporation,
Q17027991,Sunny Optical Technology (Group) Company Limited,,,
Q784804,AutoNation,,AutoNation,
Q5503081,Freshpet,,Freshpet,
Q1332242,Tokyu,,Tokyu,
Q2395390,Tata Communications,,Tata Communications,
Q5419989,Exelixis,,Exelixis,
Q841220,Hankyu Hanshin Holdings,,Hankyu Hanshin Holdings,
Q1541079,Komercni banka,,Komerční banka,
Q4967421,Bright Horizons,,Bright Horizons,
Q16988436,Coca-Cola Icecek,,Coca-Cola İçecek,
Q105222736,Shift4 Payments,,Shift4 Payments,
Q30283314,Cytokinetics,,Cytokinetics,
Q3088553,United Breweries Group,,United Breweries,
Q2059537,Arrow Electronics,,Arrow Electronics,
Q549181,MOL Group,,MOL Group,
Q1662683,Infratil,,Infratil,
Q11290802,M3,,,
Q279847,A1 Telekom Austria,,A1 Telekom Austria,
Q152695,Amer Sports,,Amer Sports,
Q60788291,Sembcorp,,Sembcorp,
Q5506152,Frost Bank,,TrustCo Bank,
Q903328,Orion Corporation,,Orion Corporation,
Q6398263,Keyera,,Keyera,
Q27988145,Post Holdings,,Post Holdings,
Q279978,A2A,,A2A,
Q2127528,Raiffeisen Bank International,,Raiffeisen Bank International,
Q7229656,"Popular, Inc.",,XP Inc.,
Q715113,EVA Air,,EVA Air,
Q7276947,RLI Corp.,,RLI Corp.,
Q104844406,SentinelOne,,SentinelOne,
Q2761303,Holmen,,Holmen,
Q951259,Murphy Oil,,Murphy Oil,
Q5374063,Empire Company,,Empire Company,
Q5166105,ConvaTec,,Convatec Group,
Q15845093,Credit Acceptance,,Credit Acceptance,
Q3540193,Wayfair,,Wayfair,
Q15931251,MGM CHINA HOLDINGS LIMITED,,,
Q3072532,Compagnie de l'Odet,,Compagnie de l'Odet,
Q339142,Acciona,,Acciona,
Q5071627,Chang Hwa Bank,,Canara Bank,
