id,contour,is_actual,name,notes,interest_object_type_id,registration_date,update_date,creator,last_updater,markers,image_name,redmine_issue_ids,secret_level_id,start_date,end_date,avatar_document_uuid,status
226053,ОК,True,Aruba,,1367,1684738197,1722389237,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226435,ОК,True,Guam,,1367,1684738759,1722768637,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226803,ОК,True,Northern Mariana Islands,,1367,1684739263,1722770531,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
204138,ОК,True,Объединённые Арабские Эмираты,,1367,1680431264,1723471160,b7de0a71-b4e8-46b2-b294-6c1ddf6a9d82,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
227179,ОК,True,Virgin Islands (U.S.),,1367,1684739754,1720653166,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
9976360,ОК,True,Финляндия,,1367,1701851122,1723467684,777150f7-84cb-4d14-a9af-ebdbfe5157b7,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226751,ОК,True,Namibia,,1367,1684739191,1722772699,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
204189,ОК,True,Саудовская Аравия,,1367,1680439685,1723469720,b7de0a71-b4e8-46b2-b294-6c1ddf6a9d82,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226338,ОК,True,Falkland Islands,,1367,1684738598,1721146876,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
198089,ОК,True,Индия,,1367,1678890142,1723470717,c6bc5dff-5220-48fa-8071-259e0d49472e,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226683,ОК,True,Mauritania,,1367,1684739102,1722771865,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
