name,location,coordinates
Амстердамский университет,"Амстердам, Нидерланды",52°22′06″ с. ш. 4°53′25″ в. д.
Центральная партийная школа Коммунистической партии Китая,,
Высшая нормальная школа,,
Школа управления им. Джона Ф. Кеннеди,"Кембридж, Массачусетс, США",42°22′17″ с. ш. 71°07′20″ з. д.
Мичиганский университет,"Ann Arbor, Michigan, United States42°16′37″N 83°44′17″W﻿ / ﻿42.27694°N 83.73806°W﻿ / 42.27694; -83.73806",42°16′58″ с. ш. 83°44′06″ з. д.
Масариков университет,"Чехия, Брно",49°11′55″ с. ш. 16°36′19″ в. д.
Университет имени Я. А. Коменского,"Словакия, Братислава",48°08′28″ с. ш. 17°06′57″ в. д.
Гарвардская школа права,"Cambridge, Massachusetts, United States",42°22′41″ с. ш. 71°07′07″ з. д.
Гарвардский университет,"Cambridge, Massachusetts, United States42°22′28″N 71°07′01″W﻿ / ﻿42.37444°N 71.11694°W﻿ / 42.37444; -71.11694",42°22′34″ с. ш. 71°06′59″ з. д.
Военная академия США,United States Military Academy grounds and facilities[вд],41°23′38″ с. ш. 73°57′16″ з. д.
Сиднейский университет,"Сидней, Австралия",33°53′09″ ю. ш. 151°11′24″ в. д.
Пенджабский университет,"Пенджаб, Пакистан",31°28′48″ с. ш. 74°15′54″ в. д.
Лицей Карла Великого,,
Барселонский университет,"Барселона,  Испания",41°23′12″ с. ш. 2°09′50″ в. д.
Кембриджский университет,"Кембридж, графство Кембриджшир,  Англия,  Великобритания",52°12′11″ с. ш. 0°07′12″ в. д.
Университет Торонто,"Торонто,  Онтарио,  Канада",43°39′42″ с. ш. 79°23′42″ з. д.
Университет Сантьяго-де-Компостела,"Santiago de Compostela, Galicia, Spain42°53′19″N 8°32′42″W﻿ / ﻿42.88852250°N 8.54497260°W﻿ / 42.88852250; -8.54497260",42°53′19″ с. ш. 8°32′42″ з. д.
Университет Тафтса,"Medford and Somerville, Massachusetts, United States42°24′22″N 71°07′12″W﻿ / ﻿42.406°N 71.120°W﻿ / 42.406; -71.120",42°24′25″ с. ш. 71°07′11″ з. д.
Массачусетский технологический институт,"Cambridge, Massachusetts, United States42°21′35″N 71°5′31″W﻿ / ﻿42.35972°N 71.09194°W﻿ / 42.35972; -71.09194",42°21′32″ с. ш. 71°05′34″ з. д.
Латвийский университет,"Латвия, Рига",56°57′00″ с. ш. 24°07′00″ в. д.
Имперский колледж Лондона,Лондон,51°29′54″ с. ш. 0°10′37″ з. д.
Лейденский университет,"Лейден и Гаага,  Нидерланды",52°09′22″ с. ш. 4°29′13″ в. д.
Институт политических исследований,,
Юридический факультет Лиссабонского университета,,
Гарвардский университет,"Cambridge, Massachusetts, United States42°22′28″N 71°07′01″W﻿ / ﻿42.37444°N 71.11694°W﻿ / 42.37444; -71.11694",42°22′34″ с. ш. 71°06′59″ з. д.
Австралийский национальный университет,"Эктон, Канберра,  Австралия",35°16′35″ ю. ш. 149°07′14″ в. д.
Академия музыкального искусства,,
Люблянский университет,"Словения, Любляна",46°02′56″ с. ш. 14°30′14″ в. д.
Гамбургский университет,Гамбург,53°34′01″ с. ш. 9°59′02″ в. д.
Флорентийский университет,"Флоренция, Италия",43°46′40″ с. ш. 11°15′31″ в. д.
Национальный университет Сингапура,Сингапур,1°17′44″ с. ш. 103°46′36″ в. д.
Лондонская школа экономики и политических наук,Лондон,51°30′50″ с. ш. 0°07′00″ з. д.
Монреальский университет,"Монреаль, Квебек, Канада",45°30′11″ с. ш. 73°36′54″ з. д.
Копенгагенский университет,"Копенгаген,  Дания",55°40′47″ с. ш. 12°34′21″ в. д.
Высшая школа экономики,"Россия, Москва, Санкт-Петербург, Нижний Новгород, Пермь",55°45′41″ с. ш. 37°38′01″ в. д.
Университет имени Я. А. Коменского,"Словакия, Братислава",48°08′28″ с. ш. 17°06′57″ в. д.
МГИМО,"Moscow, Russia",55°40′19″ с. ш. 37°29′18″ в. д.
Люблянский университет,"Словения, Любляна",46°02′56″ с. ш. 14°30′14″ в. д.
Брестский государственный технический университет,"Белоруссия, Брест",52°05′ с. ш. 23°45′ в. д.
Венский университет,"Вена, Австрия",48°12′47″ с. ш. 16°21′35″ в. д.
Университет Сан-Паулу,штат Сан-Паулу: * Бауру * Лорена * Пирасикаба * Пирасунунга  * Рибейран-Прету  * Сан-Карлус  * Сан-Паулу* Сан-Себастьян,23°33′ ю. ш. 46°38′ з. д.
Берлинский университет,"Берлин, Германия",52°31′05″ с. ш. 13°23′36″ в. д.
РАНХиГС,"Россия, Москва",55°39′54″ с. ш. 37°28′41″ в. д.
